company_name,sales,revenue_growth,profit_margin,employee_growth,debt_ratio,operating_expenses,tax_to_revenue_ratio
ABC Manufacturing Co,5000000,0.15,0.25,0.12,0.45,3500000,0.18
XYZ Tech Solutions,12000000,0.35,0.42,0.30,0.25,6500000,0.06
Green Energy Ltd,8500000,0.22,0.28,0.18,0.55,5800000,0.20
FastFood Chains Inc,3200000,0.08,0.15,0.05,0.65,2800000,0.14
CloudNet Services,15000000,0.45,0.38,0.35,0.15,8200000,0.08
Premium Retail Co,6700000,0.18,0.22,0.15,0.48,4900000,0.17
AutoParts Direct,4500000,0.12,0.19,0.10,0.58,3400000,0.16
Digital Marketing Pro,2800000,0.28,0.45,0.22,0.20,1400000,0.04
HealthCare Supplies,9200000,0.20,0.26,0.17,0.42,6500000,0.19
FinTech Innovations,18000000,0.52,0.48,0.40,0.12,8500000,0.05
Construction Plus,7300000,0.14,0.21,0.11,0.72,5600000,0.15
EduTech Learning,5500000,0.25,0.32,0.20,0.28,3600000,0.12
Fashion Boutique,3900000,0.10,0.18,0.08,0.55,3100000,0.16
Data Analytics Corp,11000000,0.38,0.40,0.32,0.18,6200000,0.07
Pharma Research Ltd,13500000,0.30,0.35,0.25,0.35,8900000,0.22
Transport Logistics,6100000,0.16,0.20,0.13,0.68,4700000,0.17
Coffee Chain Stores,4200000,0.09,0.16,0.06,0.62,3500000,0.15
AI Robotics Inc,16500000,0.48,0.46,0.38,0.10,8800000,0.06
Home Decor Emporium,5800000,0.19,0.24,0.16,0.50,4200000,0.18
Gaming Studios Pro,9800000,0.42,0.44,0.35,0.22,5100000,0.09
